game_link,game_score,team_1_score,team_2_score,team_1_name,team_2_name,game_id
https://official.nba.com/l2m/L2MReport.html?gameId=0022300113,"Spurs 115, Suns 114",115,114,Spurs,Suns,0022300113
https://official.nba.com/l2m/L2MReport.html?gameId=0022300102,"Bulls 112, Pacers 105",112,105,Bulls,Pacers,0022300102
https://official.nba.com/l2m/L2MReport.html?gameId=0022300111,"Lakers 106, Magic 103",106,103,Lakers,Magic,0022300111
https://official.nba.com/l2m/L2MReport.html?gameId=0022300100,"Kings 132, Lakers 127 (OT)",132,127,Kings,Lakers,0022300100
https://official.nba.com/l2m/L2MReport.html?gameId=0022300078,"Nuggets 108, Grizzlies 104",108,104,Nuggets,Grizzlies,0022300078
https://official.nba.com/l2m/L2MReport.html?gameId=0022300079,"Knicks 126, Hawks 120",126,120,Knicks,Hawks,0022300079
https://official.nba.com/l2m/L2MReport.html?gameId=0022300080,"Celtics 119, Heat 111",119,111,Celtics,Heat,0022300080
https://official.nba.com/l2m/L2MReport.html?gameId=0022300081," Thunder 108, Cavaliers 105",108,105,Thunder,Cavaliers,0022300081
https://official.nba.com/l2m/L2MReport.html?gameId=0022300082,"Bulls 104, Raptors 103 (OT)",104,103,Bulls,Raptors,0022300082
https://official.nba.com/l2m/L2MReport.html?gameId=0022300083,"Spurs 126, Rockets 122",126,122,Spurs,Rockets,0022300083
https://official.nba.com/l2m/L2MReport.html?gameId=0022300084,"Mavericks 125, Nets 120",125,120,Mavericks,Nets,0022300084
https://official.nba.com/l2m/L2MReport.html?gameId=0022300085,"Jazz 120, Clippers 118",120,118,Jazz,Clippers,0022300085
https://official.nba.com/l2m/L2MReport.html?gameId=0022300075,"Bucks 118, 76ers 117",118,117,Bucks,76ers,0022300075
https://official.nba.com/l2m/L2MReport.html?gameId=0022300076,"Lakers 100, Suns 95",100,95,Lakers,Suns,0022300076
https://official.nba.com/l2m/L2MReport.html?gameId=0022300063,"Hornets 116, Hawks 110",116,110,Hornets,Hawks,0022300063
https://official.nba.com/l2m/L2MReport.html?gameId=0022300065,"Celtics 108, Knicks 104",108,104,Celtics,Knicks,0022300065
https://official.nba.com/l2m/L2MReport.html?gameId=0022300067,"Cavaliers 114, Nets 113",114,113,Cavaliers,Nets,0022300067
https://official.nba.com/l2m/L2MReport.html?gameId=0022300068%0d,"Heat 103, Pistons 102",103,102,Heat,Pistons,0022300068
https://official.nba.com/l2m/L2MReport.html?gameId=0022300069%0d,"Raptors 97, Timberwolves 94",97,94,Raptors,Timberwolves,0022300069
https://official.nba.com/l2m/L2MReport.html?gameId=0022300073,"Mavericks 126, Spurs 119",126,119,Mavericks,Spurs,0022300073
https://official.nba.com/l2m/L2MReport.html?gameId=0022300062,"Suns 108, Warriors 104",108,104,Suns,Warriors,0022300062
